Name,Canton,Population
Schwerzenbach,Zurich,5088
Oberrieden,Zurich,5083
Wangen bei Olten,Solothurn,5056
Wangen,Schwyz,5053
Dulliken,Solothurn,5048
Sumiswald,Bern,5046
Root,Luzern,5040
Ebnat-Kappel,Sankt Gallen,5031
Baretswil,Zurich,5026
Chavornay,Vaud,5000
Saint Moritz,Graubunden,4994
Bauma,Zurich,4925
Geroldswil,Zurich,4918
Niederglatt,Zurich,4917
Schonenwerd,Solothurn,4910
Bettlach,Solothurn,4910
Elgg,Zurich,4903
Strengelbach,Aargau,4893
Mettmenstetten,Zurich,4865
Sainte-Croix,Vaud,4863
Flums,Sankt Gallen,4856
Kaltbrunn,Sankt Gallen,4839
Huttwil,Bern,4836
Sigriswil,Bern,4832
Ehrendingen,Aargau,4823
Ennetburgen,Nidwalden,4801
Balgach,Sankt Gallen,4797
Zuzwil,Sankt Gallen,4785
Niederlenz,Aargau,4776
Berikon,Aargau,4776
Weiningen,Zurich,4760
Oetwil am See,Zurich,4754
Turbenthal,Zurich,4748
Cortaillod,Neuchatel,4729
Wangi,Thurgau,4720
Niederbipp,Bern,4715
Egnach,Thurgau,4711
Oberkirch,Luzern,4707
Wurenlingen,Aargau,4701
Gordola,Ticino,4697
Troistorrents,Valais,4683
Saint-Sulpice,Vaud,4668
Triengen,Luzern,4652
Le Landeron,Neuchatel,4645
Beringen,Schaffhausen,4643
Tagerwilen,Thurgau,4642
Aarberg,Bern,4629
Confignon,Geneve,4627
Meiringen,Bern,4621
Stabio,Ticino,4591
Scuol,Graubunden,4591
Le Chenit,Vaud,4586
Stansstad,Nidwalden,4576
Morbio Inferiore,Ticino,4575
Saint-Maurice,Valais,4571
Tramelan,Bern,4564
Menzingen,Zug,4540
Monte Ceneri,Ticino,4521
Bronschhofen,Sankt Gallen,4515
Aarwangen,Bern,4514
Winkel,Zurich,4511
Fullinsdorf,Basel-Landschaft,4484
Zufikon,Aargau,4479
Kolliken,Aargau,4476
Rafz,Zurich,4462
Oberburen,Sankt Gallen,4447
Agno,Ticino,4445
Klosters Platz,Graubunden,4437
Schotz,Luzern,4434
Schoftland,Aargau,4393
Bubendorf,Basel-Landschaft,4389
Brugg,Bern,4388
Rebstein,Sankt Gallen,4387
Speicher,Appenzell Ausserrhoden,4379
Eschlikon,Thurgau,4372
Weggis,Luzern,4368
Gachnang,Thurgau,4364
Caslano,Ticino,4356
Russikon,Zurich,4355
Birr,Aargau,4354
Cheseaux-sur-Lausanne,Vaud,4342
Wolhusen,Luzern,4340
Utzenstorf,Bern,4331
Kehrsatz,Bern,4302
Wichtrach,Bern,4294
Avenches,Vaud,4292
Sins,Aargau,4259
Bad Zurzach,Aargau,4242
Uitikon,Zurich,4239
Schupfheim,Luzern,4219
Lucens,Vaud,4200
Lens,Valais,4198
Vouvry,Valais,4198
Satigny,Geneve,4185
Engelberg,Obwalden,4181
Sempach,Luzern,4169
Gross Hochstetten,Bern,4165
Heiden,Appenzell Ausserrhoden,4161
Unterentfelden,Aargau,4155
Lutzelfluh,Bern,4146
Paradiso,Ticino,4144
Degersheim,Sankt Gallen,4129
Niederrohrdorf,Aargau,4105
Matten,Bern,4101
Dallikon,Zurich,4100
Roggwil,Bern,4079
Oberrohrdorf,Aargau,4072
Ayent,Valais,4059
Dottingen,Aargau,4057
Hilterfingen,Bern,4044
Prangins,Vaud,4038
Leysin,Vaud,4032
Hunzenschwil,Aargau,4014
Diessenhofen,Thurgau,3998
Seengen,Aargau,3994
Burglen,Uri,3976
Berneck,Sankt Gallen,3963
Brittnau,Aargau,3954
Bottstein,Aargau,3952
Lostorf,Solothurn,3952
Leuk,Valais,3948
Magden,Aargau,3915
Chamoson,Valais,3897
Dottikon,Aargau,3881
Muhen,Aargau,3877
Sulgen,Thurgau,3869
Niedergosgen,Solothurn,3865
Nottwil,Luzern,3857
Breitenbach,Solothurn,3854
Pfungen,Zurich,3845
Safenwil,Aargau,3842
Burglen,Thurgau,3841
Vallorbe,Vaud,3837
Schanis,Sankt Gallen,3818
